KIC,Teff_spec,e_Teff_spec,[M/H],e_[M/H],Dnu,e_Dnu,numax,e_numax,ra,dec,Teff,e_Teff,luminosity,e_luminosity,star_mass,e_star_mass,radius,e_radius,ra_error,dec_error,parallax,parallax_error,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag,astrometric_params_solved,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom
4663623,4755.4824,100,0.08238445,0.06,5.136058905,0.023164651,54.09,2.7045,294.1987261,39.75796927,4775,100,76.55819506,7.759630722,1.41,0.08,9.8,0.2,0.01017776,0.011281909,0.32334065,0.012273652,13.387821,12.102222,12.816891,95,,1.4523273,59.96203964,11.11,0.026,10.593,0.027,10.453,0.02
5640750,4597.899,100,-0.19714154,0.06,2.896719978,0.02180827,24.1,1.205,297.2017715,40.89240835,4777,100,124.5164035,15.40354639,1.16,0.01,13.12,0.09,0.019259641,0.022670088,0.472788106,0.022951296,12.137563,10.734732,11.50193,31,1.4343752,,60.23402559,9.668,0.021,9.058,0.022,8.926,0.02
5786154,4747,100,-0.06,0.06,3.477574837,0.014938309,29.75,1.4875,290.2558576,41.01800402,4605,100,90.27389718,11.2526003,1.06,0.06,11.4,0.2,0.009035034,0.009940369,0.196988155,0.010485009,14.114935,12.786148,13.517907,31,1.4475908,,62.09235189,11.816,0.022,11.199,0.021,11.077,0.02
7037405,4542.3984,100,-0.14475155,0.06,2.78464728,0.018178416,21.75,1.0875,292.9762095,42.54768675,4570,100,67.59854774,4.495440707,1.25,0.04,14.1,0.2,0.009902798,0.011238045,0.501936828,0.011847338,12.501795,11.149874,11.89446,31,1.4435205,,62.89895543,10.156,0.021,9.554,0.021,9.391,0.019
7293054,4665.152,100,0.09261045,0.06,4.195541773,0.022637257,42.58,2.129,295.039786,42.87945107,,100,,,1.6,0.1,,,0.024086552,0.022974303,0.769119867,0.026918896,11.641789,10.3216505,11.05199,95,,1.4284962,62.67267129,9.341,0.022,8.778,0.02,8.63,0.015
8410637,4671.9287,100,0.09122945,0.06,4.616967002,0.026223915,46,2.3,282.1587053,44.48606327,4777,100,64.69671925,4.192304477,1.56,0.03,10.7,0.1,0.014850603,0.017040262,0.839301636,0.017095568,11.308175,10.063597,10.758455,31,1.4638232,,66.9742446,9.172,0.032,8.637,0.04,8.492,0.011
9153621,4790.9146,100,-0.31224155,0.06,4.273135606,0.016430265,38.22,1.911,291.4118908,45.53518258,4674,100,55.26302894,5.594181824,1.1,0.2,10.4,0.6,0.011241118,0.013361681,0.350457688,0.013334739,13.432625,12.175854,12.878783,31,1.4619604,,66.09088198,11.22,0.023,10.684,0.019,10.585,0.011
9540226,4677.6665,100,-0.20840155,0.06,3.129707198,0.022488893,27.07,1.3535,297.0339668,46.19844574,4612,100,82.25242643,5.133739431,1.33,0.05,12.8,0.1,0.009847801,0.011346653,0.534443237,0.011395085,12.277168,10.898074,11.653648,31,1.4380844,,65.15235212,9.88,0.02,9.278,0.018,9.156,0.015
9970396,4803.0063,100,-0.21465155,0.06,6.286112211,0.028129802,63.7,3.185,298.7098275,46.83299396,4864,100,30.52802133,1.845918757,1.14,0.03,8,0.2,0.016328633,0.022405487,0.991039137,0.019240364,12.017369,10.709279,11.436082,31,1.4523059,,65.2102687,9.742,0.027,9.182,0.031,9.081,0.021
10001167,4558.0254,100,-0.66469157,0.06,2.733727954,0.033248079,19.9,0.995,286.9556839,46.93664019,4638,100,71.67781061,3.769871921,0.81,0.05,12.7,0.3,0.01726783,0.016198337,1.135247625,0.018090611,10.595421,9.344327,10.046246,31,1.4643587,,68.45194928,8.395,0.023,7.849,0.036,7.747,0.023